name,category,code
Aerial Tramway,Emoji,🚡
Satellite,Emoji,🛰
Rocket,Emoji,🚀
Flying Saucer,Emoji,🛸
Shooting Star,Emoji,🌠
Umbrella on Ground,Emoji,⛱
Fireworks,Emoji,🎆
Sparkler,Emoji,🎇
Moon Viewing Ceremony,Emoji,🎑
Yen Banknote,Emoji,💴
Dollar Banknote,Emoji,💵
Euro Banknote,Emoji,💶
Pound Banknote,Emoji,💷
Moai,Emoji,🗿
Passport Control,Emoji,🛂
Customs,Emoji,🛃
Baggage Claim,Emoji,🛄
Left Luggage,Emoji,🛅
break,Emoji,break
Skull and Crossbones,Emoji,☠
Person Taking Bath,Emoji,🛀
Person in Bed,Emoji,🛌
Love Letter,Emoji,💌
Bomb,Emoji,💣
Hole,Emoji,🕳
Shopping Bags,Emoji,🛍
Prayer Beads,Emoji,📿
Gem Stone,Emoji,💎
Kitchen Knife,Emoji,🔪
Amphora,Emoji,🏺
World Map,Emoji,🗺
Barber Pole,Emoji,💈
Oil Drum,Emoji,🛢
Bellhop Bell,Emoji,🛎
Hourglass Done,Emoji,⌛
Hourglass Not Done,Emoji,⏳
Watch,Emoji,⌚
Alarm Clock,Emoji,⏰
Stopwatch,Emoji,⏱
Timer Clock,Emoji,⏲
Mantelpiece Clock,Emoji,🕰
Thermometer,Emoji,🌡
Umbrella on Ground,Emoji,⛱
Balloon,Emoji,🎈
Party Popper,Emoji,🎉
Confetti Ball,Emoji,🎊
Japanese Dolls,Emoji,🎎
Carp Streamer,Emoji,🎏
Wind Chime,Emoji,🎐
Ribbon,Emoji,🎀
Wrapped Gift,Emoji,🎁
Crystal Ball,Emoji,🔮
Joystick,Emoji,🕹
Framed Picture,Emoji,🖼
Postal Horn,Emoji,📯
Studio Microphone,Emoji,🎙
Level Slider,Emoji,🎚
Control Knobs,Emoji,🎛
Radio,Emoji,📻
Mobile Phone,Emoji,📱
Mobile Phone With Arrow,Emoji,📲
Telephone,Emoji,☎
Telephone Receiver,Emoji,📞
Pager,Emoji,📟
Fax Machine,Emoji,📠
Battery,Emoji,🔋
Electric Plug,Emoji,🔌
Laptop Computer,Emoji,💻
Desktop Computer,Emoji,🖥
Printer,Emoji,🖨
Keyboard,Emoji,⌨
Computer Mouse,Emoji,🖱
Trackball,Emoji,🖲
Computer Disk,Emoji,💽
Floppy Disk,Emoji,💾
Optical Disk,Emoji,💿
DVD,Emoji,📀
Movie Camera,Emoji,🎥
Film Frames,Emoji,🎞
Film Projector,Emoji,📽
Television,Emoji,📺
Camera,Emoji,📷
Camera With Flash,Emoji,📸
Video Camera,Emoji,📹
Videocassette,Emoji,📼
Magnifying Glass Tilted Left,Emoji,🔍
Magnifying Glass Tilted Right,Emoji,🔎
Candle,Emoji,🕯
Light Bulb,Emoji,💡
Flashlight,Emoji,🔦
Red Paper Lantern,Emoji,🏮
Notebook With Decorative Cover,Emoji,📔
Closed Book,Emoji,📕
Open Book,Emoji,📖
Green Book,Emoji,📗
Blue Book,Emoji,📘
Orange Book,Emoji,📙
Books,Emoji,📚
Notebook,Emoji,📓
Page With Curl,Emoji,📃
Scroll,Emoji,📜
Page Facing Up,Emoji,📄
Newspaper,Emoji,📰
Rolled-Up Newspaper,Emoji,🗞
Bookmark Tabs,Emoji,📑
Bookmark,Emoji,🔖
Label,Emoji,🏷
Money Bag,Emoji,💰
Yen Banknote,Emoji,💴
Dollar Banknote,Emoji,💵
Euro Banknote,Emoji,💶
Pound Banknote,Emoji,💷
Money With Wings,Emoji,💸
Credit Card,Emoji,💳
Envelope,Emoji,✉
E-Mail,Emoji,📧
Incoming Envelope,Emoji,📨
Envelope With Arrow,Emoji,📩
Outbox Tray,Emoji,📤
Inbox Tray,Emoji,📥
Package,Emoji,📦
Closed Mailbox With Raised Flag,Emoji,📫
Closed Mailbox With Lowered Flag,Emoji,📪
Open Mailbox With Raised Flag,Emoji,📬
Open Mailbox With Lowered Flag,Emoji,📭
Postbox,Emoji,📮
Ballot Box With Ballot,Emoji,🗳
Pencil,Emoji,✏
Black Nib,Emoji,✒
Fountain Pen,Emoji,🖋
Pen,Emoji,🖊
Paintbrush,Emoji,🖌
Crayon,Emoji,🖍
Memo,Emoji,📝
File Folder,Emoji,📁
Open File Folder,Emoji,📂
Card Index Dividers,Emoji,🗂
Calendar,Emoji,📅
Tear-Off Calendar,Emoji,📆
Spiral Notepad,Emoji,🗒
Spiral Calendar,Emoji,🗓
Card Index,Emoji,📇
Chart Increasing,Emoji,📈
Chart Decreasing,Emoji,📉
Bar Chart,Emoji,📊
Clipboard,Emoji,📋
Pushpin,Emoji,📌
Round Pushpin,Emoji,📍
Paperclip,Emoji,📎
Linked Paperclips,Emoji,🖇
Straight Ruler,Emoji,📏
Triangular Ruler,Emoji,📐
Scissors,Emoji,✂
Card File Box,Emoji,🗃
File Cabinet,Emoji,🗄
Wastebasket,Emoji,🗑
Locked,Emoji,🔒
Unlocked,Emoji,🔓
Locked With Pen,Emoji,🔏
Locked With Key,Emoji,🔐
Key,Emoji,🔑
Old Key,Emoji,🗝
Hammer,Emoji,🔨
Pick,Emoji,⛏
Hammer and Pick,Emoji,⚒
Hammer and Wrench,Emoji,🛠
Dagger,Emoji,🗡
Crossed Swords,Emoji,⚔
Pistol,Emoji,🔫
Shield,Emoji,🛡
Wrench,Emoji,🔧
Nut and Bolt,Emoji,🔩
Gear,Emoji,⚙
Clamp,Emoji,🗜
Balance Scale,Emoji,⚖
Link,Emoji,🔗
Chains,Emoji,⛓
Alembic,Emoji,⚗
Microscope,Emoji,🔬
Telescope,Emoji,🔭
Satellite Antenna,Emoji,📡
Syringe,Emoji,💉
Pill,Emoji,💊
Door,Emoji,🚪
Bed,Emoji,🛏
Couch and Lamp,Emoji,🛋
Toilet,Emoji,🚽
Shower,Emoji,🚿
Bathtub,Emoji,🛁
Cigarette,Emoji,🚬
Coffin,Emoji,⚰
Funeral Urn,Emoji,⚱
Moai,Emoji,🗿
Potable Water,Emoji,🚰
break,Emoji,break
Eye in Speech Bubble,Emoji,👁️‍🗨️
Heart With Arrow,Emoji,💘
Red Heart,Emoji,❤
Beating Heart,Emoji,💓
Broken Heart,Emoji,💔
Two Hearts,Emoji,💕
Sparkling Heart,Emoji,💖
Growing Heart,Emoji,💗
Blue Heart,Emoji,💙
Green Heart,Emoji,💚
Yellow Heart,Emoji,💛
Orange Heart,Emoji,🧡
Purple Heart,Emoji,💜
Black Heart,Emoji,🖤
Heart With Ribbon,Emoji,💝
Revolving Hearts,Emoji,💞
Heart Decoration,Emoji,💟
Heavy Heart Exclamation,Emoji,❣
Zzz,Emoji,💤
Anger Symbol,Emoji,💢
Speech Balloon,Emoji,💬
Right Anger Bubble,Emoji,🗯
Thought Balloon,Emoji,💭
White Flower,Emoji,💮
Hot Springs,Emoji,♨
Barber Pole,Emoji,💈
Stop Sign,Emoji,🛑
Twelve O’clock,Emoji,🕛
Twelve-Thirty,Emoji,🕧
One O’clock,Emoji,🕐
One-Thirty,Emoji,🕜
Two O’clock,Emoji,🕑
Two-Thirty,Emoji,🕝
Three O’clock,Emoji,🕒
Three-Thirty,Emoji,🕞
Four O’clock,Emoji,🕓
Four-Thirty,Emoji,🕟
Five O’clock,Emoji,🕔
Five-Thirty,Emoji,🕠
Six O’clock,Emoji,🕕
Six-Thirty,Emoji,🕡
Seven O’clock,Emoji,🕖
Seven-Thirty,Emoji,🕢
Eight O’clock,Emoji,🕗
Eight-Thirty,Emoji,🕣
Nine O’clock,Emoji,🕘
Nine-Thirty,Emoji,🕤
Ten O’clock,Emoji,🕙
Ten-Thirty,Emoji,🕥
Eleven O’clock,Emoji,🕚
Eleven-Thirty,Emoji,🕦
Cyclone,Emoji,🌀
Spade Suit,Emoji,♠
Heart Suit,Emoji,♥
Diamond Suit,Emoji,♦
Club Suit,Emoji,♣
Joker,Emoji,🃏
Mahjong Red Dragon,Emoji,🀄
Flower Playing Cards,Emoji,🎴
Muted Speaker,Emoji,🔇
Speaker Low Volume,Emoji,🔈
Speaker Medium Volume,Emoji,🔉
Speaker High Volume,Emoji,🔊
Loudspeaker,Emoji,📢
Megaphone,Emoji,📣
Postal Horn,Emoji,📯
Bell,Emoji,🔔
Bell With Slash,Emoji,🔕
Musical Note,Emoji,🎵
Musical Notes,Emoji,🎶
Atm Sign,Emoji,🏧
Litter in Bin Sign,Emoji,🚮
Potable Water,Emoji,🚰
Wheelchair Symbol,Emoji,♿
Men’s Room,Emoji,🚹
Women’s Room,Emoji,🚺
Restroom,Emoji,🚻
Baby Symbol,Emoji,🚼
Water Closet,Emoji,🚾
Warning,Emoji,⚠
Children Crossing,Emoji,🚸
No Entry,Emoji,⛔
Prohibited,Emoji,🚫
No Bicycles,Emoji,🚳
No Smoking,Emoji,🚭
No Littering,Emoji,🚯
Non-Potable Water,Emoji,🚱
No Pedestrians,Emoji,🚷
No One Under Eighteen,Emoji,🔞
Radioactive,Emoji,☢
Biohazard,Emoji,☣
Up Arrow,Emoji,⬆
Up-Right Arrow,Emoji,↗
Right Arrow,Emoji,➡
Down-Right Arrow,Emoji,↘
Down Arrow,Emoji,⬇
Down-Left Arrow,Emoji,↙
Left Arrow,Emoji,⬅
Up-Left Arrow,Emoji,↖
Up-Down Arrow,Emoji,↕
Left-Right Arrow,Emoji,↔
Right Arrow Curving Left,Emoji,↩
Left Arrow Curving Right,Emoji,↪
Right Arrow Curving Up,Emoji,⤴
Right Arrow Curving Down,Emoji,⤵
Clockwise Vertical Arrows,Emoji,🔃
Counterclockwise Arrows Button,Emoji,🔄
Back Arrow,Emoji,🔙
End Arrow,Emoji,🔚
On! Arrow,Emoji,🔛
Soon Arrow,Emoji,🔜
Top Arrow,Emoji,🔝
Place of Worship,Emoji,🛐
Atom Symbol,Emoji,⚛
Om,Emoji,🕉
Star of David,Emoji,✡
Wheel of Dharma,Emoji,☸
Yin Yang,Emoji,☯
Latin Cross,Emoji,✝
Orthodox Cross,Emoji,☦
Star and Crescent,Emoji,☪
Peace Symbol,Emoji,☮
Menorah,Emoji,🕎
Dotted Six-Pointed Star,Emoji,🔯
Aries,Emoji,♈
Taurus,Emoji,♉
Gemini,Emoji,♊
Cancer,Emoji,♋
Leo,Emoji,♌
Virgo,Emoji,♍
Libra,Emoji,♎
Scorpio,Emoji,♏
Sagittarius,Emoji,♐
Capricorn,Emoji,♑
Aquarius,Emoji,♒
Pisces,Emoji,♓
Ophiuchus,Emoji,⛎
Shuffle Tracks Button,Emoji,🔀
Repeat Button,Emoji,🔁
Repeat Single Button,Emoji,🔂
Play Button,Emoji,▶
Fast-Forward Button,Emoji,⏩
Reverse Button,Emoji,◀
Fast Reverse Button,Emoji,⏪
Upwards Button,Emoji,🔼
Fast Up Button,Emoji,⏫
Downwards Button,Emoji,🔽
Fast Down Button,Emoji,⏬
Stop Button,Emoji,⏹
Eject Button,Emoji,⏏
Cinema,Emoji,🎦
Dim Button,Emoji,🔅
Bright Button,Emoji,🔆
Antenna Bars,Emoji,📶
Vibration Mode,Emoji,📳
Mobile Phone Off,Emoji,📴
Recycling Symbol,Emoji,♻
Trident Emblem,Emoji,🔱
Name Badge,Emoji,📛
Japanese Symbol for Beginner,Emoji,🔰
Heavy Large Circle,Emoji,⭕
White Heavy Check Mark,Emoji,✅
Ballot Box With Check,Emoji,☑
Heavy Check Mark,Emoji,✔
Heavy Multiplication X,Emoji,✖
Cross Mark,Emoji,❌
Cross Mark Button,Emoji,❎
Heavy Plus Sign,Emoji,➕
Heavy Minus Sign,Emoji,➖
Heavy Division Sign,Emoji,➗
Curly Loop,Emoji,➰
Double Curly Loop,Emoji,➿
Part Alternation Mark,Emoji,〽
Eight-Spoked Asterisk,Emoji,✳
Eight-Pointed Star,Emoji,✴
Sparkle,Emoji,❇
Double Exclamation Mark,Emoji,‼
Exclamation Question Mark,Emoji,⁉
Question Mark,Emoji,❓
White Question Mark,Emoji,❔
White Exclamation Mark,Emoji,❕
Exclamation Mark,Emoji,❗
Copyright,Emoji,©
Registered,Emoji,®
Trade Mark,Emoji,™
Keycap Number Sign,Emoji,#️⃣
Keycap Digit Zero,Emoji,0️⃣
Keycap Digit One,Emoji,1️⃣
Keycap Digit Two,Emoji,2️⃣
Keycap Digit Three,Emoji,3️⃣
Keycap Digit Four,Emoji,4️⃣
Keycap Digit Five,Emoji,5️⃣
Keycap Digit Six,Emoji,6️⃣
Keycap Digit Seven,Emoji,7️⃣
Keycap Digit Eight,Emoji,8️⃣
Keycap Digit Nine,Emoji,9️⃣
Keycap 10,Emoji,🔟
Hundred Points,Emoji,💯
Input Latin Uppercase,Emoji,🔠
Input Latin Lowercase,Emoji,🔡
Input Numbers,Emoji,🔢
Input Symbols,Emoji,🔣
Input Latin Letters,Emoji,🔤
A Button (blood Type),Emoji,🅰
Ab Button (blood Type),Emoji,🆎
B Button (blood Type),Emoji,🅱
CL Button,Emoji,🆑
Cool Button,Emoji,🆒
Free Button,Emoji,🆓
Information,Emoji,ℹ
ID Button,Emoji,🆔
Circled M,Emoji,Ⓜ
New Button,Emoji,🆕
NG Button,Emoji,🆖
O Button (blood Type),Emoji,🅾
OK Button,Emoji,🆗
P Button,Emoji,🅿
SOS Button,Emoji,🆘
Up! Button,Emoji,🆙
Vs Button,Emoji,🆚
Japanese here Button,Emoji,🈁
Japanese service Charge Button,Emoji,🈂
Japanese monthly Amount Button,Emoji,🈷
Japanese not Free of Charge Button,Emoji,🈶
Japanese reserved Button,Emoji,🈯
Japanese bargain Button,Emoji,🉐
Japanese discount Button,Emoji,🈹
Japanese free of Charge Button,Emoji,🈚
Japanese prohibited Button,Emoji,🈲
Japanese acceptable Button,Emoji,🉑
Japanese application Button,Emoji,🈸
Japanese passing Grade Button,Emoji,🈴
Japanese vacancy Button,Emoji,🈳
Japanese congratulations Button,Emoji,㊗
Japanese secret Button,Emoji,㊙
Japanese open for Business Button,Emoji,🈺
Japanese no Vacancy Button,Emoji,🈵
Black Small Square,Emoji,▪
White Small Square,Emoji,▫
White Medium Square,Emoji,◻
Black Medium Square,Emoji,◼
White Medium-Small Square,Emoji,◽
Black Medium-Small Square,Emoji,◾
Black Large Square,Emoji,⬛
White Large Square,Emoji,⬜
Large Orange Diamond,Emoji,🔶
Large Blue Diamond,Emoji,🔷
Small Orange Diamond,Emoji,🔸
Small Blue Diamond,Emoji,🔹
Red Triangle Pointed Up,Emoji,🔺
Red Triangle Pointed Down,Emoji,🔻
Diamond With a Dot,Emoji,💠
Black Square Button,Emoji,🔲
White Square Button,Emoji,🔳
White Circle,Emoji,⚪
Black Circle,Emoji,⚫
Red Circle,Emoji,🔴
Blue Circle,Emoji,🔵
break,Emoji,break
Chequered Flag,Emoji,🏁
Triangular Flag,Emoji,🚩
Crossed Flags,Emoji,🎌
Black Flag,Emoji,🏴
White Flag,Emoji,🏳
Rainbow Flag,Emoji,🏳️‍🌈
Pirate Flag,Emoji,🏴‍☠️
Ascension Island,Emoji,🇦🇨
Andorra,Emoji,🇦🇩
United Arab Emirates,Emoji,🇦🇪
Afghanistan,Emoji,🇦🇫
Antigua & Barbuda,Emoji,🇦🇬
Anguilla,Emoji,🇦🇮
Albania,Emoji,🇦🇱
Armenia,Emoji,🇦🇲
Angola,Emoji,🇦🇴
Antarctica,Emoji,🇦🇶
Argentina,Emoji,🇦🇷
American Samoa,Emoji,🇦🇸
Austria,Emoji,🇦🇹
Australia,Emoji,🇦🇺
Aruba,Emoji,🇦🇼
Åland Islands,Emoji,🇦🇽
Azerbaijan,Emoji,🇦🇿
Bosnia & Herzegovina,Emoji,🇧🇦
Barbados,Emoji,🇧🇧
Bangladesh,Emoji,🇧🇩
Belgium,Emoji,🇧🇪
Burkina Faso,Emoji,🇧🇫
Bulgaria,Emoji,🇧🇬
Bahrain,Emoji,🇧🇭
Burundi,Emoji,🇧🇮
Benin,Emoji,🇧🇯
St. Barthélemy,Emoji,🇧🇱
Bermuda,Emoji,🇧🇲
Brunei,Emoji,🇧🇳
Bolivia,Emoji,🇧🇴
Caribbean Netherlands,Emoji,🇧🇶
Brazil,Emoji,🇧🇷
Bahamas,Emoji,🇧🇸
Bhutan,Emoji,🇧🇹
Bouvet Island,Emoji,🇧🇻
Botswana,Emoji,🇧🇼
Belarus,Emoji,🇧🇾
Belize,Emoji,🇧🇿
Canada,Emoji,🇨🇦
Cocos (Keeling) Islands,Emoji,🇨🇨
Congo - Kinshasa,Emoji,🇨🇩
Central African Republic,Emoji,🇨🇫
Congo - Brazzaville,Emoji,🇨🇬
Switzerland,Emoji,🇨🇭
Côte D’Ivoire,Emoji,🇨🇮
Cook Islands,Emoji,🇨🇰
Chile,Emoji,🇨🇱
Cameroon,Emoji,🇨🇲
China,Emoji,🇨🇳
Colombia,Emoji,🇨🇴
Clipperton Island,Emoji,🇨🇵
Costa Rica,Emoji,🇨🇷
Cuba,Emoji,🇨🇺
Cape Verde,Emoji,🇨🇻
Curaçao,Emoji,🇨🇼
Christmas Island,Emoji,🇨🇽
Cyprus,Emoji,🇨🇾
Czechia,Emoji,🇨🇿
Germany,Emoji,🇩🇪
Diego Garcia,Emoji,🇩🇬
Djibouti,Emoji,🇩🇯
Denmark,Emoji,🇩🇰
Dominica,Emoji,🇩🇲
Dominican Republic,Emoji,🇩🇴
Algeria,Emoji,🇩🇿
Ceuta & Melilla,Emoji,🇪🇦
Ecuador,Emoji,🇪🇨
Estonia,Emoji,🇪🇪
Egypt,Emoji,🇪🇬
Western Sahara,Emoji,🇪🇭
Eritrea,Emoji,🇪🇷
Spain,Emoji,🇪🇸
Ethiopia,Emoji,🇪🇹
European Union,Emoji,🇪🇺
Finland,Emoji,🇫🇮
Fiji,Emoji,🇫🇯
Falkland Islands,Emoji,🇫🇰
Micronesia,Emoji,🇫🇲
Faroe Islands,Emoji,🇫🇴
France,Emoji,🇫🇷
Gabon,Emoji,🇬🇦
United Kingdom,Emoji,🇬🇧
Grenada,Emoji,🇬🇩
Georgia,Emoji,🇬🇪
French Guiana,Emoji,🇬🇫
Guernsey,Emoji,🇬🇬
Ghana,Emoji,🇬🇭
Gibraltar,Emoji,🇬🇮
Greenland,Emoji,🇬🇱
Gambia,Emoji,🇬🇲
Guinea,Emoji,🇬🇳
Guadeloupe,Emoji,🇬🇵
Equatorial Guinea,Emoji,🇬🇶
Greece,Emoji,🇬🇷
South Georgia & South Sandwich Islands,Emoji,🇬🇸
Guatemala,Emoji,🇬🇹
Guam,Emoji,🇬🇺
Guinea-Bissau,Emoji,🇬🇼
Guyana,Emoji,🇬🇾
Hong Kong SAR China,Emoji,🇭🇰
Heard & McDonald Islands,Emoji,🇭🇲
Honduras,Emoji,🇭🇳
Croatia,Emoji,🇭🇷
Haiti,Emoji,🇭🇹
Hungary,Emoji,🇭🇺
Canary Islands,Emoji,🇮🇨
Indonesia,Emoji,🇮🇩
Ireland,Emoji,🇮🇪
Israel,Emoji,🇮🇱
Isle of Man,Emoji,🇮🇲
India,Emoji,🇮🇳
British Indian Ocean Territory,Emoji,🇮🇴
Iraq,Emoji,🇮🇶
Iran,Emoji,🇮🇷
Iceland,Emoji,🇮🇸
Italy,Emoji,🇮🇹
Jersey,Emoji,🇯🇪
Jamaica,Emoji,🇯🇲
Jordan,Emoji,🇯🇴
Japan,Emoji,🇯🇵
Kenya,Emoji,🇰🇪
Kyrgyzstan,Emoji,🇰🇬
Cambodia,Emoji,🇰🇭
Kiribati,Emoji,🇰🇮
Comoros,Emoji,🇰🇲
St. Kitts & Nevis,Emoji,🇰🇳
North Korea,Emoji,🇰🇵
South Korea,Emoji,🇰🇷
Kuwait,Emoji,🇰🇼
Cayman Islands,Emoji,🇰🇾
Kazakhstan,Emoji,🇰🇿
Laos,Emoji,🇱🇦
Lebanon,Emoji,🇱🇧
St. Lucia,Emoji,🇱🇨
Liechtenstein,Emoji,🇱🇮
Sri Lanka,Emoji,🇱🇰
Liberia,Emoji,🇱🇷
Lesotho,Emoji,🇱🇸
Lithuania,Emoji,🇱🇹
Luxembourg,Emoji,🇱🇺
Latvia,Emoji,🇱🇻
Libya,Emoji,🇱🇾
Morocco,Emoji,🇲🇦
Monaco,Emoji,🇲🇨
Moldova,Emoji,🇲🇩
Montenegro,Emoji,🇲🇪
St. Martin,Emoji,🇲🇫
Madagascar,Emoji,🇲🇬
Marshall Islands,Emoji,🇲🇭
Macedonia,Emoji,🇲🇰
Mali,Emoji,🇲🇱
Myanmar (Burma),Emoji,🇲🇲
Mongolia,Emoji,🇲🇳
Macau SAR China,Emoji,🇲🇴
Northern Mariana Islands,Emoji,🇲🇵
Martinique,Emoji,🇲🇶
Mauritania,Emoji,🇲🇷
Montserrat,Emoji,🇲🇸
Malta,Emoji,🇲🇹
Mauritius,Emoji,🇲🇺
Maldives,Emoji,🇲🇻
Malawi,Emoji,🇲🇼
Mexico,Emoji,🇲🇽
Malaysia,Emoji,🇲🇾
Mozambique,Emoji,🇲🇿
Namibia,Emoji,🇳🇦
New Caledonia,Emoji,🇳🇨
Niger,Emoji,🇳🇪
Norfolk Island,Emoji,🇳🇫
Nigeria,Emoji,🇳🇬
Nicaragua,Emoji,🇳🇮
Netherlands,Emoji,🇳🇱
Norway,Emoji,🇳🇴
Nepal,Emoji,🇳🇵
Nauru,Emoji,🇳🇷
Niue,Emoji,🇳🇺
New Zealand,Emoji,🇳🇿
Oman,Emoji,🇴🇲
Panama,Emoji,🇵🇦
Peru,Emoji,🇵🇪
French Polynesia,Emoji,🇵🇫
Papua New Guinea,Emoji,🇵🇬
Philippines,Emoji,🇵🇭
Pakistan,Emoji,🇵🇰
Poland,Emoji,🇵🇱
St. Pierre & Miquelon,Emoji,🇵🇲
Pitcairn Islands,Emoji,🇵🇳
Puerto Rico,Emoji,🇵🇷
Palestinian Territories,Emoji,🇵🇸
Portugal,Emoji,🇵🇹
Palau,Emoji,🇵🇼
Paraguay,Emoji,🇵🇾
Qatar,Emoji,🇶🇦
Réunion,Emoji,🇷🇪
Romania,Emoji,🇷🇴
Serbia,Emoji,🇷🇸
Russia,Emoji,🇷🇺
Rwanda,Emoji,🇷🇼
Saudi Arabia,Emoji,🇸🇦
Solomon Islands,Emoji,🇸🇧
Seychelles,Emoji,🇸🇨
Sudan,Emoji,🇸🇩
Sweden,Emoji,🇸🇪
Singapore,Emoji,🇸🇬
St. Helena,Emoji,🇸🇭
Slovenia,Emoji,🇸🇮
Svalbard & Jan Mayen,Emoji,🇸🇯
Slovakia,Emoji,🇸🇰
Sierra Leone,Emoji,🇸🇱
San Marino,Emoji,🇸🇲
Senegal,Emoji,🇸🇳
Somalia,Emoji,🇸🇴
Suriname,Emoji,🇸🇷
South Sudan,Emoji,🇸🇸
São Tomé & Príncipe,Emoji,🇸🇹
El Salvador,Emoji,🇸🇻
Sint Maarten,Emoji,🇸🇽
Syria,Emoji,🇸🇾
Swaziland,Emoji,🇸🇿
Tristan Da Cunha,Emoji,🇹🇦
Turks & Caicos Islands,Emoji,🇹🇨
Chad,Emoji,🇹🇩
French Southern Territories,Emoji,🇹🇫
Togo,Emoji,🇹🇬
Thailand,Emoji,🇹🇭
Tajikistan,Emoji,🇹🇯
Tokelau,Emoji,🇹🇰
Timor-Leste,Emoji,🇹🇱
Turkmenistan,Emoji,🇹🇲
Tunisia,Emoji,🇹🇳
Tonga,Emoji,🇹🇴
Turkey,Emoji,🇹🇷
Trinidad & Tobago,Emoji,🇹🇹
Tuvalu,Emoji,🇹🇻
Taiwan,Emoji,🇹🇼
Tanzania,Emoji,🇹🇿
Ukraine,Emoji,🇺🇦
Uganda,Emoji,🇺🇬
U.S. Outlying Islands,Emoji,🇺🇲
United Nations,Emoji,🇺🇳
United States,Emoji,🇺🇸
Uruguay,Emoji,🇺🇾
Uzbekistan,Emoji,🇺🇿
Vatican City,Emoji,🇻🇦
St. Vincent & Grenadines,Emoji,🇻🇨
Venezuela,Emoji,🇻🇪
British Virgin Islands,Emoji,🇻🇬
U.S. Virgin Islands,Emoji,🇻🇮
Vietnam,Emoji,🇻🇳
Vanuatu,Emoji,🇻🇺
Wallis & Futuna,Emoji,🇼🇫
Samoa,Emoji,🇼🇸
Kosovo,Emoji,🇽🇰
Yemen,Emoji,🇾🇪
Mayotte,Emoji,🇾🇹
South Africa,Emoji,🇿🇦
Zambia,Emoji,🇿🇲
Zimbabwe,Emoji,🇿🇼
England,Emoji,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Scotland,Emoji,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Wales,Emoji,🏴󠁧󠁢󠁷󠁬󠁳󠁿
Alpha,Greek Alphabet,Α
Beta,Greek Alphabet,Β
Gamma,Greek Alphabet,Γ
Delta,Greek Alphabet,Δ
Epsilon,Greek Alphabet,Ε
Zeta,Greek Alphabet,Ζ
Eta,Greek Alphabet,Η
Theta,Greek Alphabet,Θ
Iota,Greek Alphabet,Ι
Kappa,Greek Alphabet,Κ
Lambda,Greek Alphabet,Λ
Mu,Greek Alphabet,Μ
Nu,Greek Alphabet,Ν
Xi,Greek Alphabet,Ξ
Omicron,Greek Alphabet,Ο
Pi,Greek Alphabet,Π
Rho,Greek Alphabet,Ρ
Sigma,Greek Alphabet,Σ
Tau,Greek Alphabet,Τ
Upsilon,Greek Alphabet,Υ
Phi,Greek Alphabet,Φ
Chi,Greek Alphabet,Χ
Psi,Greek Alphabet,Ψ
Omega,Greek Alphabet,Ω
Alpha,Greek Alphabet,α
Beta,Greek Alphabet,β
Gamma,Greek Alphabet,γ
Delta,Greek Alphabet,δ
Epsilon,Greek Alphabet,ε
Zeta,Greek Alphabet,ζ
Eta,Greek Alphabet,η
Theta,Greek Alphabet,θ
Iota,Greek Alphabet,ι
Kappa,Greek Alphabet,κ
Lambda,Greek Alphabet,λ
Mu,Greek Alphabet,μ
Nu,Greek Alphabet,ν
Xi,Greek Alphabet,ξ
Omicron,Greek Alphabet,ο
Pi,Greek Alphabet,π
Rho,Greek Alphabet,ρ
Sigma,Greek Alphabet,"σ,ς *"
Tau,Greek Alphabet,τ
Upsilon,Greek Alphabet,υ
Phi,Greek Alphabet,φ
Chi,Greek Alphabet,χ
Psi,Greek Alphabet,ψ
Omega,Greek Alphabet,ω
Plus Sign,Math,+
Minus Sign,Math,−
Multiplication Sign,Math,×
Division Sign,Math,÷
Equal Sign,Math,=
Not Equal To Sign,Math,≠
Plus or Minus Sign,Math,±
Not Sign,Math,¬
Less-Than Sign,Math,<
Greater-Than Sign,Math,>
Equal to or Less-Than Sign,Math,⋜
Equal to or Greater-Than Sign,Math,⋝
Degree Sign,Math,°
Superscript One,Math,¹
Superscript Two,Math,²
Superscript Three,Math,³
Function,Math,ƒ
Percent Sign,Math,%
Per Mille Sign,Math,‰
Per Ten Thousand Sign,Math,‱
For All,Math,∀
Complement,Math,∁
Partial Differential,Math,∂
There Exists,Math,∃
There Does Not Exist,Math,∄
Empty Set,Math,∅
Increment,Math,∆
Nabla,Math,∇
Element Of,Math,∈
Not an Element Of,Math,∉
Small Element Of,Math,∊
Contains as Member,Math,∋
Does Not Contain as Member,Math,∌
Small Contains as Member,Math,∍
End of Proof,Math,∎
N-Ary Product,Math,∏
N-Ary Coproduct,Math,∐
N-Ary Summation,Math,∑
Minus-or-Plus Sign,Math,∓
Dot Plus,Math,∔
Division Slash,Math,∕
Set Minus,Math,∖
Asterisk Operator,Math,∗
Ring Operator,Math,∘
Bullet Operator,Math,∙
Square Root,Math,√
Cube Root,Math,∛
Fourth Root,Math,∜
Proportional To,Math,∝
Infinity,Math,∞
Right Angle,Math,∟
Angle,Math,∠
Measured Angle,Math,∡
Spherical Angle,Math,∢
Divides,Math,∣
Does Not Divide,Math,∤
Parallel To,Math,∥
Not Parallel To,Math,∦
Logical And,Math,∧
Logical Or,Math,∨
Intersection,Math,∩
Union,Math,∪
